№	Учебное заведение	Округ	Район	Адрес
52	Российский химико-технологический университет (РХТУ) имени Д.И. Менделеева	ЦАО	Тверской	Москва, Миусская пл., 9
53	Российский экономический университет (РЭУ) имени Г.В. Плеханова	ЦАО	Замоскворечье	Москва, Стремянный переулок, д.36
54	Национальный исследовательский технологический университет МИСиС	ЦАО	Якиманка	Москва, Ленинский проспект, 4
55	Российский государственный университет правосудия, ФГБОУВО РГУП	ЮЗАО	Черёмушки	г. Москва, улица Новочеремушкинская, дом 69
56	Первый медицинский университет (МГМУ) имени И.М. Сеченова	ЦАО	Хамовники	Москва, Большая Пироговская улица, дом 2, строение 4
57	«Государственный академический университет гуманитарных наук»	ЦАО	Якиманка	Москва, Мароновский переулок, дом 26
58	«Высшая школа народных искусств (институт)»	САО	Зябликово	Москва, улица Мусы Джалиля, дом 14, корпус 2
59	Международный университет в Москве	САО	Беговой	Москва, Ленинградский проспект, дом 17
60	«Российская государственная специализированная академия искусств»	ЗАО	Дорогомилово	Москва, Резервный проезд, дом 12
61	«Всероссийский государственный университет юстиции (РПА Минюста России)»	ЮЗАО	Зюзино	Москва, Азовская улица, дом 2, корпус 1
62	«Российская академия музыки имени Гнесиных»	ЦАО	Арбат	Москва, Поварская улица, дом 30-36, строение 1
63	«Российский новый университет»	ЦАО	Басманный	Москва, улица Радио, дом 22
64	«Театральный институт имени Бориса Щукина при Государственном академическом театре имени Евгения Вахтангова»	ЦАО	Арбат	Москва, Большой Николопесковский переулок, дом 12А, строение 1
65	«Московский технологический университет»	ЗАО	Тропарёво-Никулино	Москва, проспект Вернадского, дом 78, строение 1
66	«Российский университет дружбы народов»	ЮЗАО	Обручевский	Москва, улица Миклухо-Маклая, дом 6
67	«Московский государственный психолого-педагогический университет»	ЦАО	Мещанский	Москва, улица Сретенка, дом 29
68	«Свято-Филаретовский православно-христианский институт»	ЦАО	Басманный	Москва, улица Покровка, дом 29
69	«Академия социального управления»	СВАО	Бабушкинский	Москва, Енисейская улица, дом 3, корпус 5
70	«Институт гуманитарного образования и информационных технологий»	ВАО	Измайлово	Москва, Верхняя Первомайская улица, дом 53
71	«Институт экономики и антикризисного управления»	ЮЗАО	Академический	Москва, улица Вавилова, дом 53, корпус 3
72	«Академия акварели и изящных искусств Сергея Андрияки»	ЮЗАО	Тёплый Стан	Москва, улица Академика Варги, дом 15
